group,run,mate,paper,source,layout,scientific_name,ena_fastq_bytes,local_fastq_bytes,agent_total_sequences,agent_gc_percent,agent_gc_percent_exact,agent_poor_quality,agent_sequence_length_mean,ena_run_read_count,ena_run_base_count
2–3,ERR15682270,R1,Iceman microbiome,PRJEB94382,PAIRED,metagenome,3644307,3644307,28061,51.0,51.535,0,301.0,56122,16892722
2–3,ERR15682270,R2,Iceman microbiome,PRJEB94382,PAIRED,metagenome,5363244,5363244,28061,53.0,52.271,0,301.0,56122,16892722
4–5,ERR10114877,R1,Paleofuran study,PRJEB55583,PAIRED,blank sample,7701833,7701833,263035,49.0,49.625,0,64.319,526070,33836230
4–5,ERR10114877,R2,Paleofuran study,PRJEB55583,PAIRED,blank sample,7169255,7169255,263035,84.0,84.927,0,64.319,526070,33836230
6,ERR3250149,single,Birch pitch genome,PRJEB30280,SINGLE,Betula pendula,172890455,172890455,4380359,52.0,52.325,0,81.0,4380359,354809079
7,ERR10114867,R1,Paleofuran study,PRJEB55583,PAIRED,blank sample,14798699,14798699,423760,53.0,53.156,0,58.148,847520,49281990
7,ERR10114867,R2,Paleofuran study,PRJEB55583,PAIRED,blank sample,15848835,15848835,423760,75.0,75.862,0,58.148,847520,49281990
8,ERR10114861,R1,Paleofuran study,PRJEB55583,PAIRED,Neanderthal sample,35365445,35365445,2034431,47.0,47.638,0,19.174,4068862,78016958
8,ERR10114861,R2,Paleofuran study,PRJEB55583,PAIRED,Neanderthal sample,36069916,36069916,2034431,47.0,47.725,0,19.174,4068862,78016958
9,ERR15682267,R1,Iceman microbiome,PRJEB94382,PAIRED,metagenome,4102323,4102323,29629,54.0,54.884,0,301.0,59258,17836658
9,ERR15682267,R2,Iceman microbiome,PRJEB94382,PAIRED,metagenome,5787702,5787702,29629,55.0,54.896,0,301.0,59258,17836658
