run_accession	experiment_accession	sample_accession	scientific_name	fastq_ftp	fastq_bytes	submitted_ftp	submitted_bytes
ERR10114848	ERX9651994	SAMEA5971616	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/048/ERR10114848/ERR10114848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/048/ERR10114848/ERR10114848_2.fastq.gz	341082828;346612693	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114848/ECO002.C0102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114848/ECO002.C0102_2.fastq.gz	315029745;320404842
ERR10114849	ERX9651995	SAMEA5971617	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/049/ERR10114849/ERR10114849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/049/ERR10114849/ERR10114849_2.fastq.gz	347836594;354173691	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114849/ECO004.B0102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114849/ECO004.B0102_2.fastq.gz	323027957;329143180
ERR10114850	ERX9651996	SAMEA5971620	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/050/ERR10114850/ERR10114850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/050/ERR10114850/ERR10114850_2.fastq.gz	349900744;354349106	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114850/ECO010.B0102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114850/ECO010.B0102_2.fastq.gz	323394164;327702918
ERR10114852	ERX9651998	SAMEA5971591	Homo sapiens neanderthalensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/052/ERR10114852/ERR10114852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/052/ERR10114852/ERR10114852_2.fastq.gz	66850059;68651713	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114852/FUM002.A0102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114852/FUM002.A0102_2.fastq.gz	59718285;61529948
ERR10114853	ERX9651999	SAMEA5971592	Homo sapiens neanderthalensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/053/ERR10114853/ERR10114853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/053/ERR10114853/ERR10114853_2.fastq.gz	206760292;211740245	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114853/FUM003.A0102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114853/FUM003.A0102_2.fastq.gz	184572184;189574885
ERR10114855	ERX9652001	SAMEA5971596	Homo sapiens neanderthalensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/055/ERR10114855/ERR10114855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/055/ERR10114855/ERR10114855_2.fastq.gz	243755261;251470979	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114855/GOY006.A0102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114855/GOY006.A0102_2.fastq.gz	218168222;225970413
ERR10114866	ERX9652012	SAMEA5971602	Homo sapiens neanderthalensis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/066/ERR10114866/ERR10114866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/066/ERR10114866/ERR10114866_2.fastq.gz	48852354;49291269	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114866/ZAF001.A0103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114866/ZAF001.A0103_2.fastq.gz	43152400;43538531
ERR10114868	ERX9652014	SAMEA110744186	blank sample	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/068/ERR10114868/ERR10114868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/068/ERR10114868/ERR10114868_2.fastq.gz	18324480;19710152	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114868/EXB021.A0102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114868/EXB021.A0102_2.fastq.gz	17248767;18666241
ERR10114872	ERX9652018	SAMEA110744190	blank sample	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/072/ERR10114872/ERR10114872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/072/ERR10114872/ERR10114872_2.fastq.gz	20434597;20223481	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114872/LIB002.A0115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114872/LIB002.A0115_2.fastq.gz	17627569;17285712
ERR10114878	ERX9652024	SAMEA110744179	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/078/ERR10114878/ERR10114878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/078/ERR10114878/ERR10114878_2.fastq.gz	1922680217;1949206117	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114878/EMN002.A0101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114878/EMN002.A0101_2.fastq.gz	1743728518;1771415072
ERR10114879	ERX9652025	SAMEA110744180	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/079/ERR10114879/ERR10114879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/079/ERR10114879/ERR10114879_2.fastq.gz	2072335681;2086626903	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114879/EMN003.A0101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114879/EMN003.A0101_2.fastq.gz	1887131744;1902801822
ERR10114880	ERX9652026	SAMEA110744181	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/080/ERR10114880/ERR10114880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/080/ERR10114880/ERR10114880_2.fastq.gz	1651257175;1667418929	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114880/EMN004.A0101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114880/EMN004.A0101_2.fastq.gz	1498670198;1516207545
